_id,level,max_velocity,name,type
31096786,0,80.0,Quốc Lộ 1,trunk
32575737,3,-1.0,(không tên),unclassified
32575794,3,-1.0,Chu Văn An,unclassified
32575820,3,-1.0,Nguyễn Văn Bá,tertiary
32575823,3,-1.0,Nguyễn Thị Nhỏ,tertiary
32575862,2,-1.0,Đường số 5,secondary
32575864,2,40.0,Châu Văn Liêm,secondary
32575869,3,-1.0,Lê Văn Thịnh,unclassified
32575874,3,-1.0,(không tên),unclassified
32575935,2,-1.0,Tân Phú,primary_link
32575943,3,-1.0,Lê Minh Xuân,tertiary
32575944,3,-1.0,Phú Hòa,unclassified
32575966,2,-1.0,Lê Văn Lương,secondary
32575968,3,-1.0,An Phú Tây - Hưng Long,tertiary
32575985,3,-1.0,Nguyễn Khoái,tertiary
32576041,3,-1.0,Vành Đai Trong,tertiary
32576047,3,-1.0,Đường 10Tây,unclassified
32576095,3,-1.0,(không tên),tertiary
32576096,3,-1.0,Xuân Thới Sơn - Xuân Thới Dông,unclassified
32576099,3,-1.0,Nguyễn Văn Lượng,unclassified
32576112,3,-1.0,Trương Quốc Dung,unclassified
32576127,3,-1.0,Tản Đà,tertiary
32576156,3,-1.0,Đường số 7,tertiary
32576164,2,-1.0,Bình Long,secondary
32576175,3,-1.0,Tam Đa,unclassified
32576202,3,-1.0,Nguyễn Hồng Đào,tertiary
32576278,3,-1.0,Bến Bùi Huy Bích,tertiary
32576371,3,-1.0,Cầu Calmette,tertiary
32576373,3,-1.0,Bến Nguyễn Duy,tertiary
32576377,3,-1.0,Trường Sa,tertiary
32576381,2,-1.0,Nguyễn Bình,secondary
32576511,3,-1.0,Vĩnh Lộc,tertiary
32576575,3,-1.0,Thới Hòa,tertiary
32576600,3,-1.0,Tạ Quang Bửu,tertiary
32576602,2,-1.0,Trần Não,secondary
32576657,3,-1.0,Xóm Củi,tertiary
32576658,3,-1.0,Nguyễn Đức Cảnh,tertiary
32576690,3,-1.0,Phạm Đăng Giảng,tertiary
32576691,2,-1.0,Phan Văn Hớn,secondary
32576747,3,-1.0,Hậu Giang,tertiary
32576820,3,-1.0,Đại Lộ III,tertiary
32576835,3,-1.0,Lương Thế Vinh,unclassified
